key,en,fr,es,nl
shortcut-viewer-toggle-all-information,Toggle information panel in all views,Afficher/Masquer le panneau d'information dans toutes les vues,,Infopaneel weergeven/verbergen in alle views
shortcut-viewer-toggle-all-layers,Toggle layers panel in all views,Afficher/Masquer le panneau des calques dans toutes les vues,,Lagenpaneel tonen/verbergen in alle views
shortcut-viewer-toggle-all-link,Toggle image synchronization panel in all views,Afficher/Masquer le panneau de synchronisation des images dans toutes les vues,,Toon/verberg Frame Sync-paneel in alle views
shortcut-viewer-toggle-all-ontology,Toggle terms panel in all views,Afficher/Masquer le panneau des termes dans toutes les vues,,Toon/verberg termenpaneel in alle  views
shortcut-viewer-toggle-all-overview,Toggle overview in all views,Afficher/Masquer l'aperçu dans toutes les vues,,Voorbeeld tonen/verbergen in alle views
shortcut-viewer-toggle-all-properties,Toggle properties panel in all views,Afficher/Masquer le panneau des propriétés dans toutes les vues,,Toon/verberg eigenschappenvenster in alle views
shortcut-viewer-toggle-all-review-layer,Toggle review layer in review mode in all views,Afficher/masquer le calque de validation en mode validation dans toutes les vues,,Validatielaag in review mode in alle views tonen/verbergen
shortcut-viewer-toggle-all-review,Toggle review panel in all views,Afficher/Masquer le panneau de validation dans toutes les vues,,Validatiepaneel in alle views tonen/verbergen
shortcut-viewer-toggle-all-selected-layers,Toggle visibility of selected layers in all views,Afficher/masquer les calques d'annotations sélectionnés dans toutes les vues,,Toon/verberg geselecteerde annotatielagen in alle views
shortcut-viewer-toggle-all-zoom,Toggle zoom panel in all views,Afficher/Masquer le panneau de zoom dans toutes les vues,,Zoompaneel weergeven/verbergen in alle views
shortcut-viewer-toggle-annotations,Toggle annotations panel,Afficher/Masquer le panneau des annotations,Alternar panel de anotaciones,Annotatiepaneel tonen/verbergen
shortcut-viewer-toggle-broadcast,Toggle broadcast panel,Afficher/Masquer le panneau de diffusion et suivi,Alternar panel de transmisión,Uitzending en opvolgingspaneel tonen/verbergen
shortcut-viewer-toggle-current,Toggle currently selected annotation panel,Afficher/Masquer les détails de l'annotation sélectionnée,Alternar el panel de anotaciones seleccionado actualmente,Geselecteerde annotatiedetails tonen/verbergen
shortcut-viewer-toggle-filters,Toggle image color panel,Afficher/Masquer le panneau de colorisation de l'image,Alternar panel de color de imagen,Het inkleuringspaneel voor afbeeldingen tonen/verbergen
shortcut-viewer-toggle-information,Toggle information panel,Afficher/Masquer le panneau d'information,Alternar panel de información,Informatiepaneel tonen/verbergen
shortcut-viewer-toggle-layers,Toggle layers panel,Afficher/Masquer le panneau des calques,Alternar panel de capas,Lagen layerspaneel tonen/verbergen
shortcut-viewer-toggle-link,Toggle image synchronization panel,Afficher/Masquer le panneau de synchronisation des images,Alternar panel de sincronización de imagen,Shortcut viewer tonen/verbergen
shortcut-viewer-toggle-ontology,Toggle terms panel,Afficher/Masquer le panneau des termes,Alternar panel de términos,Termenpaneel tonen/verbergen
shortcut-viewer-toggle-overview,Toggle overview,Afficher/Masquer l'aperçu,Alternar vista previa,Voorbeeld tonen/verbergen
shortcut-viewer-toggle-properties,Toggle properties panel,Afficher/Masquer le panneau des propriétés,Alternar panel de propiedades,Eigenschappenvenster tonen/verbergen
shortcut-viewer-toggle-review-layer,Toggle review layer in review mode,Afficher/masquer le calque de validation en mode validation,,Validatielaag in review mode tonen/verbergen
shortcut-viewer-toggle-review,Toggle review panel,Afficher/Masquer le panneau de validation,Alternar panel de revisión,Validatiepaneel tonen/verbergen
shortcut-viewer-toggle-selected-layers,Toggle visibility of selected layers,Afficher/masquer les calques d'annotations sélectionnés,,Toon/verberg geselecteerde annotatielagen
shortcut-viewer-toggle-zoom,Toggle zoom panel,Afficher/Masquer le panneau de zoom,Alternar panel de zoom,Zoompaneel tonen/verbergen
shortcut-viewer-tool-circle,Draw a circle,Dessiner un cercle,Dibujar un circulo,Teken een cirkel
shortcut-viewer-tool,Viewer: Tools, Visualisateur : Outils,Visor: Herramientas,Viewer: Tools
shortcut-viewer-tool-copy,Copy annotation,Copier l'annotation,,Annotatie kopiëren
shortcut-viewer-tool-correct-add,Correct annotation by adding a freehand area,Corriger l'annotation en lui ajoutant un polygone à main levée,Correjir anotación agregando un área a mano alzada,Annotatie verbeteren door er een polygoon uit de vrije hand aan toe te voegen
shortcut-viewer-tool-correct-remove,Correct annotation by removing a freehand area,Corriger l'annotation en lui soustrayant un polygone à main levée,Correjir anotación eliminando un área a mano alzada,Annotatie verbeteren door er een polygoon uit de vrije hand van af te trekken
shortcut-viewer-tool-delete,Delete selected annotation,Supprimer l'annotation sélectionnée,Eliminar la anotación seleccionada,Delete geselecteerde annotatie
shortcut-viewer-tool-fill,Fill annotation,Remplir l'annotation,Rellenar anotación,Annotatie invullen
shortcut-viewer-tool-freehand-line,Draw a freehand line,Dessiner une ligne à main levée,Dibujar una línea a mano alzada,Teken een lijn uit de vrije hand
shortcut-viewer-tool-freehand-polygon,Draw a freehand polygon,Dessiner un polygone à main levée,Dibujar un polígono a mano alzada,Teken een veelhoek uit de vrije hand
shortcut-viewer-tool-line,Draw a line,Dessiner une ligne,Dibujar una línea,Teken een lijn
shortcut-viewer-tool-modify-delete-vertex,Delete a vertex with the modify tool,Supprimer un sommêt avec l'outil de modification,Eliminar un vértice con la herramienta de modificación,Een hoekpunt met het bewerkingsgereedschap verwijderen
shortcut-viewer-tool-modify,Modify annotation,Modifier l'annotation,Modificar anotación,Annotatie bewerken
shortcut-viewer-tool-move,Move annotation,Déplacer l'annotation,Mover anotación,Annotatie verplaatsen
shortcut-viewer-tool-paste,Paste annotation,Coller l'annotation,,Annotatie plakken
shortcut-viewer-tool-point,Draw a point,Dessiner un point,Dibujar un punto,Teken een punt
shortcut-viewer-tool-polygon,Draw a polygon,Dessiner un polygone,Dibujar un polígono,Teken een veelhoek
shortcut-viewer-tool-rectangle,Draw a rectangle,Dessiner un rectangle,Dibujar un rectángulo,Teken een rechthoek
shortcut-viewer-tool-redo,Redo annotation action,Refaire une action sur les annotations,Rehacer acción de anotación,Een actie op annotaties opnieuw uitdoen
shortcut-viewer-tool-rescale,Rescale annotation,Redimensionner l'annotation,,Annotatieformaat wijzigen
shortcut-viewer-tool-review-accept,Accept selected annotation in review mode,Valider l'annotation sélectionnée en mode validation,Aceptar anotaciones seleccionadas en modo revisión,Valideer geselecteerde annotatie in reviewmodus
shortcut-viewer-tool-review-reject,Reject selected annotation in review mode,Rejeter l'annotation sélectionnée en mode validation,Rechazar la anotación seleccionada en modo revisión,Weiger geselecteerde annotatie in reviewmodus
shortcut-viewer-tool-review-toggle,Toggle review layer in review mode,Afficher/masquer le calque de validation en mode validation,Alternar capa de revisión en modo revisión,Toon/verberg validatielaag in reviewmodus
shortcut-viewer-tool-rotate,Rotate annotation,Pivoter l'annotation,Rotar anotación,Annotatie roteren
shortcut-viewer-tool-select,Select annotation,Sélectionner une annotation,Seleccionar anotación,Selecteer een annotatie
shortcut-viewer-tool-undo,Undo annotation action,Annuler une action sur les annotations,Deshacer acción de anotación,Een actie op annotaties annuleren
shortcuts,Shortcuts,Raccourcis,Atajos,Snelkoppelingen
size,Size,Taille,Tamaño,Maat
slice,Slice,Plan,,Slice
slide-preview-not-available,No slide preview,Aperçu de la lame non disponible,Sin vista previa de cristal,Bladvoorbeeld niet beschikbaar
slide-preview,Slide preview,Aperçu de la lame,Vista previa de cristal,Slide preview
slide-preview-of,Slide preview of {filename},Aperçu de la lame {filename},Vista previa de cristal de {filename},Slide-voorbeeld van {filename}
small,Small,Petit,Pequeña,Small
source-code-info,Cytomine is an open-source software. The licenses are Apache 2.0 and LGPL 2.1. The source code is available on our {githubLink}.,Cytomine est un logiciel open-source. Il est distribué sous les licences Apache2 et LGPL 2.1. Le code source est disponible sur notre {githubLink}.,Cytomine es un software de código abierto distribuido bajo las licencias Apache2 y LGPL 2.1. El código fuente está disponible en nuestro {githubLink}.,Cytomine is open source-software. Het wordt gedistribueerd onder de Apache2- en LGPL 2.1-licenties. De broncode is beschikbaar op onze {githubLink}.
source,Source,Source,Origen,Bron
source-code,Source code,Code source,Código fuente,Source code
spatial-projection,Spatial projection,Projection spatiale,Proyección espacial,Ruimtelijke projectie
sponsors,Sponsors,Sponsors,Patrocinadores,Sponsoren
start-upload,Start upload,Lancer l'upload,Iniciar la carga,uploaden beginnen
statistics,Statistics,Statistiques,Estadísticas,Statistieken
status-comment,Status comment,Commentaire,Comentario,Opmerking
status,Status,Statut,Estado,Status
step,Step,Saut,,Stap
storage,Storage,Stockage,Almacenamiento,storage
string,String,Chaîne de caractères,Cadena de caracteres,Reeks tekens
success,Success,Réussi,Finalizado con éxito,Geslaagd
successful-registration,Your account was successfully created. Check your inbox to enable it.,Votre compte a été créé avec succès. Consultez votre boîte mail pour l'activer.,Su cuenta fue creada exitosamente. Revise su bandeja de entrada para activarla.,Uw account is succesvol aangemaakt. Controleer uw mailbox om deze te activeren.
super-admin,Super admin,Super admin,Super administrador,Super admin
switch-back-to-user,Switch back to {username},Retour à {username},Volver a {username},Terug naar {usersnaam}
system,System,Système,Sistema,Systeem
tags,Tags,Tags,Etiquetas,Tags
temporal-spectra,Temporal spectra,Spectre temporel,Espectros temporales,Tijdelijke spectra
term,Term,Terme,Término,Term
terms-new-annotation,Term(s) to associate to new annotations,Terme(s) à associer aux nouvelles annotations,Término(s) a asociar con nuevas anotaciones,Term(en) om te associëren met nieuwe annotaties
terms,Terms,Termes,Términos,termen
the-term,term,le terme,,de term
time-period,Time period,Période de temps,Periodo de tiempo,Periode
to-convert,To convert,À convertir,A convertir,Te converteren
to,To,Jusqu'à,Hasta,Tot
to-deploy,To deploy,À déployer,Desplegar,Te implementeren
too-much-categories-to-display,There are too much categories to display ({toDisplay}). Only {displayed} first ones are shown.,,,Er zijn te veel categorieën om weer te geven ({toDisplay}). Alleen {weergegeven} eerste worden weergegeven.
total,Total,Total,Total,Totaal
tracks-new-annotation,Track(s) to associate to new annotations,Trace(s) à associer à de nouvelles annotations,,Track(en) om te associëren met nieuwe annotaties
tracks,Tracks,Traces,Pistas,Tracks
type,Type,Type,Tipo,Annotatie type
um-per-pixel,µm/pixel,µm/pixel,µm/píxel,µm/pixel
um,µm,µm,µm,µm
um-per-slice,µm/slice,µm/plan,,µm/vlak
uncategorized,Uncategorized,Non classé,Sin categoría,Uncategorized
uncompressed,Uncompressed,Décompressé,Sin comprimir,Uitgepakt
undo-redo,Undo/Redo,Annuler/Refaire,Deshacer/Rehacer,Undo/Redo
undo,Undo,Annuler,Deshacer,Annuleren
unexpected-error-info-message,An unexpected error occurred,Une erreur inattendue s'est produite,Se ha producido un error inesperado,Er is een onverwachte fout opgetreden
university-of-liege,University of Liège,Université de Liège,Universidad de Lieja,Universiteit van Luik
unknown,Unknown,Inconnu,Desconocido,Onbekend
unlink,Unlink,Dissocier,Desconectar,Ontkoppelen
unpacked,Unpacked,Décompressé,,Uuitgepakt
unpacking,Unpacking,Décompression en cours,,Decompressie bezig
update-tag,Update tag,Modifier un tag,Actualizar etiqueta,Een tag bewerken
update-term,Update term,Modifier un terme,Término de actualización,Een term bewerken
update-track,Update track,Modifier une trace,,Wijzig een  track
update-user,Update user,Modifier un utilisateur,Actualizar usuario,Wijzig een user
updated,Updated,Mis à jour,Actualizado,Updated
upload-error,Upload error,Erreur d'upload,Error al cargar,upload fout
upload,Upload,Upload,Subir,Uploaden
uploaded-images,Images uploaded,Images téléversées,,Geüploade afbeeldingen
uploaded,Uploaded,Téléchargé,Subido,Geüpload
use-existing-image-group,Use existing image group,Utiliser un groupe d'images existant,Usar grupo de imágenes existente,Gebruik bestaande afbeeldingsgroep
use-existing-ontology,Use existing ontology,Utiliser une ontologie existante,Usar ontología existente,Gebruik een bestaande ontologie
used-in-project-no-access,Used in projects that you are not allowed to see,Utilisée dans des projets auxquels vous n'avez pas accès,Usado en proyectos que no puedes ver,Wordt gebruikt in projecten waartoe u geen toegang heeft
used-storage-space,Used storage space,Espace de stockage utilisé,Espacio de almacenamiento utilizado,Opslagruimte gebruikt
user-annotations,Manual Annotations,Annotations manuelles,Anotaciones manuales,Handmatige annotaties
user,User,Utilisateur,Usuario,Users
username,Username,Nom d'utilisateur,Nombre de usuario,Usersnaam
users,Users,Utilisateurs,Usuarios,Users
validate-annotation,Validate annotation,Valider l'annotation,Validar anotación,Annotatie valideren
validations.messages._default,Invalid field,Champ incorrect,Campo inválido,Ongeldig veld
validations.messages.decimal,Must be a number,Doit être un nombre,Tiene que ser un número,Moet een nummer zijn
validations.messages.email,Must be a valid email address,Doit être une adresse e-mail valide,Debe ser una dirección de correo electrónico válida,Moet een geldig e-mail adres zijn
validations.messages.is,Invalid confirmation,Confirmation incorrecte,Confirmacion inválida,Onjuiste bevestiging
validations.messages.min,Must have at least {1} characters,Doit contenir au moins {1} caractères,Debe tener al menos {1} caracteres,Moet minimaal {1} ??tekens bevatten
validations.messages.positive,Must be positive,Doit être positif,Debe ser positivo,Moet positief zijn
validations.messages.required,This field is required,Champ obligatoire,Este campo es obligatorio,Verplicht veld
value-key,Value key,Valeur de la clé,Clave de valor,Key waarde
value,Value,Valeur,Valor,Waarde
vendor,Vendor,Marque du scanner,Vendedor,Scanner merk
version,Version,Version,Versión,Versie
view-all-projects,View all projects,Voir tous les projets,Ver todos los proyectos,Alle projecten bekijken
view,View,Visualisation d'images,Ver,Afbeeldingen bekijken
view-linked-with,This view is linked with,Cette image est synchronisée avec :,Esta vista está vinculada con,Deze afbeelding is gesynchroniseerd met:
viewer-center-position,viewer center position,centre du visualisateur,posición central del espectador,positie van de kijker in het midden
viewer-group,Viewer group ({nbImages} images),Groupe d'images ({nbImages} images),Grupo de espectadores ({nbImages} imágenes),Groep afbeeldingen ({nbImages} afbeeldingen)
viewer-panels,Viewer panels,Visualisateur d'images,Paneles del visor,Afbeeldingsviewer
viewer-view,View {number},Image {number},Ver {number},Afbeelding {nummer}
vms-mrxs-upload-info,VMS and MRXS must be zipped (the VMS/MRXS/VSI file and their nested files). One ZIP per image.,Les fichiers VMS et MRXS doivent être compressées dans un ZIP (le ZIP doit contenir le fichier VMS/MRXS/VSI ainsi que les fichiers associés).,Las imágenes en formato VMS y MRXS deben estar comprimidas en único ZIP que contenga tanto el archivo VMS/MRXS/VSI como sus archivos anidados.,VMS- en MRXS-files moeten worden gecomprimeerd in een ZIP (de ZIP moet zowel het VMS/MRXS/VSI-file als de bijbehorende files bevatten).
wait,Wait,En attente,Espere,In de wacht
warning-cannot-draw-multiple-slices,Cannot draw on multiple channels simultaneously,Impossible de dessiner sur plusieurs canaux simultanément,,Kan niet op meerdere kanalen tegelijk tekenen
warning-change-applies-in-project-only,"If you change this value, the modification will only be performed in this project (it will not be propagated to other projects containing the image)","Si vous changez cette valeur, la modification ne sera appliquée que dans ce projet (elle ne sera pas propagée à d'autres projets contenant cette image)","Si cambia este valor, la modificación solo se realizará en este proyecto (no se propagará a otros proyectos que contengan la imagen)","Als u deze waarde wijzigt, wordt de wijziging alleen toegepast in dit project (deze wordt niet doorgegeven aan andere projecten die deze afbeelding bevatten)"
warning-more-links-than-images,There will be more linked annotations (<strong>{nbLinks}</strong>) than images in this group (<strong>{nbImages}</strong>),Il va y avoir plus d'annotations liées (<strong>{nbLinks}</strong>) que d'images dans ce groupe (<strong>{nbImages}</strong>),Habrá más anotaciones vinculadas (<strong>{nbLinks}</strong>) que imágenes en este grupo (<strong>{nbImages}</strong>),Er zijn meer gelinkte annotaties (<strong>{nbLinks}</strong>) dan afbeeldingen in deze groep (<strong>{nbImages}</strong>)
website,Website,Site web,Sitio web,Website
week,Week,Semaine,Semana,Week
welcome-message,Welcome message,Message de bienvenue,Mensaje de bienvenida,Welkomstbericht
white,White,Blanc,Blanco,Wit
width,Width,Largeur,Anchura,Breedte
workspace,Workspace,Espace de travail,Espacio de trabajo,Werkruimte
x-resolution,X resolution,Résolution X,,X-resolutie
y-resolution,Y resolution,Résolution Y,,Y-resolutie
x-y-resolution,X/Y resolution,Résolution X/Y,,X/Y-resolutie
yellow,Yellow,Jaune,Amarillo,Geel
yes,Yes,Oui,Sí,Ja
yes-one-group-per-line,"Yes, one per line","Oui, un par ligne","Sí, uno por línea","Ja, één per regel"
you-are-reviewing-image-since,You are reviewing this image since {date},Cette image est en cours de validation depuis le {date},Estás revisando esta imagen desde {date},Deze afbeelding wordt gevalideerd sinds {date}
you-have-validated-image-on,You have validated this image on {date},Vous avez validé cette image le {date},Usted ha validado esta imagen el {fecha},U hebt deze afbeelding gevalideerd op {date}
z-resolution,Z resolution,Résolution Z,,Z-resolutie
zip-upload-info,A ZIP file containing multiple image is allowed (except for VMS and MRXS),Il est possible d'uploader un ZIP contenant plusieurs images (à l'exception des images VMS et MRXS).,Se permite que un archivo ZIP contanga múltiples imágenes (excepto para VMS y MRXS),Het is mogelijk om een ??ZIP met meerdere afbeeldingen te uploaden (met uitzondering van VMS- en MRXS-afbeeldingen).
app-engine.name,App Engine,App Engine,App Engine,App Engine
app-engine.tasks.name,Tasks,Tâches,Tareas,Taken
app-engine.task.name,Task,Tâche,Tarea,Taak
app-engine.applications,Applications,Applications,Aplicaciones,Toepassingen
app-engine.no-authors,No Authors,Aucun auteur,Sin autores,Keine Autoren
app-engine.execute-a-task,Run a task,Lancer une tâche,Ejecutor de tareas,Applicatie-uitvoerder
app-engine.previous-task-runs,Previous task runs,Tâches exécutées précédemment,,
app-engine.ae-current-status,Current Status,Statut actuel,Estado actual,Huidige status
app-engine.ae-history,Tasks History,Historique des tâches,Historial de tareas,Eerdere taken
app-engine.form.select-task,Select a task,Sélectionnez une tâche,Seleccione una tarea,Selecteer een taak
app-engine.ae-run-task,Run Task,Exécuter la tâche,Ejecutar la tarea,Voer taak uit
app-engine.task.no-description,No description,Pas de description,Sin descripción,Geen beschrijving
app-engine.run.started,Task run launched,Lancement de l'exécution de la tâche,Inicio de ejecución de tarea,Uitvoering van taak gestart
app-engine.inputs.title,Inputs,Entrées,Entradas,Ingangen
app-engine.outputs.title,Outputs,Sorties,Salidas,Uitgangen
app-engine.parameter.name,Name,Nom,Nombre,Naam
app-engine.parameter.type,Type,Type,Tipo,Type
app-engine.parameter.value,Value,Valeur,Valor,Waarde
app-engine.runs.title,Runs,Exécutions,Ejecuciones,Uitvoeringen
app-engine.task-run.state.title,State,État,Estado,Status
